"","Portfolio Manager Property ID","Property GFA - Self-Reported (m²)","Electricity Use - Grid Purchase (kWh)","Primary Property Type - Self Selected","ID","Area","kWh","Property_Type","log_Area"
"198",28033703,465,"Not Available","Fire Station",28033703,465,NA,"Fire Station",6.14203740558736
"199",28033704,1533,"208907.9","Fire Station",28033704,1533,208907.9,"Fire Station",7.33498187887181
"200",28033705,469,"Not Available","Fire Station",28033705,469,NA,"Fire Station",6.15060276844628
"201",28033706,454,"50315.199999999997","Fire Station",28033706,454,50315.2,"Fire Station",6.11809719804135
"202",28033707,533,"63668","Fire Station",28033707,533,63668,"Fire Station",6.27852142416584
"203",28033708,1107,"Not Available","Fire Station",28033708,1107,NA,"Fire Station",7.00940893270864
"204",28033709,642,"Not Available","Fire Station",28033709,642,NA,"Fire Station",6.46458830368996
"205",28033710,693,"Not Available","Fire Station",28033710,693,NA,"Fire Station",6.5410299991899
"206",28033711,350,"Not Available","Fire Station",28033711,350,NA,"Fire Station",5.85793315448346
"207",28033712,844,"Not Available","Fire Station",28033712,844,NA,"Fire Station",6.73815249459596
"208",28033713,1097,"Not Available","Fire Station",28033713,1097,NA,"Fire Station",7.00033446027523
"209",28033714,974,"79541.399999999994","Fire Station",28033714,974,79541.4,"Fire Station",6.88141130364254
"210",28033715,1323,"156050.70000000001","Fire Station",28033715,1323,156050.7,"Fire Station",7.18765716411496
"211",28033716,497,"Not Available","Fire Station",28033716,497,NA,"Fire Station",6.20859002609663
"212",28033717,1022,"Not Available","Fire Station",28033717,1022,NA,"Fire Station",6.92951677076365
"213",28033718,497,"Not Available","Fire Station",28033718,497,NA,"Fire Station",6.20859002609663
"214",28033719,827,"Not Available","Fire Station",28033719,827,NA,"Fire Station",6.71780469502369
"215",28033720,511,"54567.8","Fire Station",28033720,511,54567.8,"Fire Station",6.2363695902037
"216",28033721,511,"61448.5","Fire Station",28033721,511,61448.5,"Fire Station",6.2363695902037
"217",28033722,497,"Not Available","Fire Station",28033722,497,NA,"Fire Station",6.20859002609663
"218",28033723,497,"Not Available","Fire Station",28033723,497,NA,"Fire Station",6.20859002609663
"219",28033724,521,"60511.3","Fire Station",28033724,521,60511.3,"Fire Station",6.25575004175337
"220",28033725,1185,"57897.8","Fire Station",28033725,1185,57897.8,"Fire Station",7.07749805356923
"221",28033726,911,"Not Available","Fire Station",28033726,911,NA,"Fire Station",6.81454289725996
"222",28033727,1124,"Not Available","Fire Station",28033727,1124,NA,"Fire Station",7.02464903045364
"223",28033728,1109,"Not Available","Fire Station",28033728,1109,NA,"Fire Station",7.01121398735037
"224",28033729,673,"Not Available","Fire Station",28033729,673,NA,"Fire Station",6.51174532964473
"225",28033730,700,"125862.7","Fire Station",28033730,700,125862.7,"Fire Station",6.5510803350434
"226",28033731,700,"Not Available","Fire Station",28033731,700,NA,"Fire Station",6.5510803350434
"227",28033732,951,"Not Available","Fire Station",28033732,951,NA,"Fire Station",6.85751406254539
"228",28033733,1222,"Not Available","Fire Station",28033733,1222,NA,"Fire Station",7.10824413973154
"229",28033734,941,"149577.20000000001","Fire Station",28033734,941,149577.2,"Fire Station",6.84694313958538
"230",28033735,1020,"Not Available","Fire Station",28033735,1020,NA,"Fire Station",6.92755790627832
"231",28033736,2310,"306289.8","Fire Station",28033736,2310,306289.8,"Fire Station",7.74500280351584
"232",28033737,1182,"144173.70000000001","Fire Station",28033737,1182,144173.7,"Fire Station",7.07496319796604
"233",28033738,1208,"419606","Fire Station",28033738,1208,419606,"Fire Station",7.09672137849476
"234",28033739,409,"105653","Fire Station",28033739,409,105653,"Fire Station",6.0137151560428
"235",28033740,861,"77680.100000000006","Fire Station",28033740,861,77680.1,"Fire Station",6.75809450442773
"236",28033741,284,"31090","Fire Station",28033741,284,31090,"Fire Station",5.64897423816121
